entity_id,entity_name,entity_type,owner_team,segment,priority
ENT001,Video workflow 1,Video workflow,Research,Core,Medium
ENT002,Feature theme 2,Video workflow,Product,At Risk,Medium
ENT003,Video workflow 3,Feature theme,Product,At Risk,Medium
ENT004,Educator cohort 4,Educator cohort,Support,Emerging,Low
ENT005,Video workflow 5,Educator cohort,Product,Strategic,Medium
ENT006,Educator cohort 6,Feature theme,Engineering,Core,High
ENT007,Video workflow 7,Video workflow,Engineering,Core,Low
ENT008,Educator cohort 8,Video workflow,Operations,Core,High
ENT009,Feature theme 9,Launch experiment,Support,Strategic,Medium
ENT010,Educator cohort 10,Feature theme,Operations,Core,High
ENT011,Educator cohort 11,Launch experiment,Sales,At Risk,Low
ENT012,Educator cohort 12,Video workflow,Sales,Strategic,Low
ENT013,Video workflow 13,Feature theme,Support,Core,Medium
ENT014,Educator cohort 14,Educator cohort,Operations,Core,High
ENT015,Launch experiment 15,Feature theme,Engineering,At Risk,Low
ENT016,Launch experiment 16,Educator cohort,Research,Strategic,Medium
ENT017,Video workflow 17,Video workflow,Product,Strategic,Medium
ENT018,Educator cohort 18,Educator cohort,Support,Core,Low
ENT019,Feature theme 19,Feature theme,Sales,Core,Low
ENT020,Video workflow 20,Educator cohort,Analytics,Strategic,Low
ENT021,Feature theme 21,Video workflow,Analytics,Core,Low
ENT022,Launch experiment 22,Educator cohort,Engineering,Core,High
ENT023,Educator cohort 23,Educator cohort,Operations,At Risk,Low
ENT024,Launch experiment 24,Video workflow,Research,Core,Low
