requirement_id,stakeholder_group,business_question,required_metric,decision_supported,acceptance_test,status
REQ0001,Product,How should activation rate change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,action owner assigned,in build
REQ0002,Operations,How should support friction change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,sample reconciles,blocked
REQ0003,Sales,How should feature readiness change the next decision?,support_friction,SaaS product roadmap and adoption decisions,action owner assigned,validated
REQ0004,Customer Success,How should repeat creation change the next decision?,collaboration_depth,SaaS product roadmap and adoption decisions,SQL check passes,triaged
REQ0005,Executive,How should collaboration depth change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,SQL check passes,triaged
REQ0006,Product,How should feature readiness change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,sample reconciles,in build
REQ0007,Sales,How should activation rate change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,SQL check passes,validated
REQ0008,Customer Success,How should feature readiness change the next decision?,support_friction,SaaS product roadmap and adoption decisions,action owner assigned,validated
REQ0009,Product,How should collaboration depth change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,sample reconciles,in build
REQ0010,Executive,How should collaboration depth change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,metric owner approved,in build
REQ0011,Engineering,How should collaboration depth change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,SQL check passes,new
REQ0012,Executive,How should support friction change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,dashboard explains variance,new
REQ0013,Customer Success,How should repeat creation change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,action owner assigned,new
REQ0014,Executive,How should activation rate change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,metric owner approved,triaged
REQ0015,Customer Success,How should collaboration depth change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,metric owner approved,triaged
REQ0016,Engineering,How should collaboration depth change the next decision?,collaboration_depth,SaaS product roadmap and adoption decisions,SQL check passes,new
REQ0017,Executive,How should repeat creation change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,sample reconciles,blocked
REQ0018,Executive,How should collaboration depth change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,sample reconciles,new
REQ0019,Product,How should collaboration depth change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,metric owner approved,validated
REQ0020,Sales,How should support friction change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,dashboard explains variance,in build
REQ0021,Executive,How should collaboration depth change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,dashboard explains variance,in build
REQ0022,Engineering,How should activation rate change the next decision?,collaboration_depth,SaaS product roadmap and adoption decisions,action owner assigned,validated
REQ0023,Engineering,How should collaboration depth change the next decision?,support_friction,SaaS product roadmap and adoption decisions,SQL check passes,blocked
REQ0024,Engineering,How should support friction change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,metric owner approved,blocked
REQ0025,Product,How should support friction change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,action owner assigned,new
REQ0026,Engineering,How should activation rate change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,metric owner approved,triaged
REQ0027,Engineering,How should activation rate change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,sample reconciles,in build
REQ0028,Executive,How should support friction change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,action owner assigned,blocked
REQ0029,Operations,How should collaboration depth change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,metric owner approved,new
REQ0030,Sales,How should support friction change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,sample reconciles,blocked
REQ0031,Operations,How should collaboration depth change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,metric owner approved,validated
REQ0032,Product,How should collaboration depth change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,action owner assigned,validated
REQ0033,Operations,How should support friction change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,dashboard explains variance,triaged
REQ0034,Sales,How should activation rate change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,metric owner approved,triaged
REQ0035,Sales,How should collaboration depth change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,SQL check passes,triaged
REQ0036,Customer Success,How should repeat creation change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,action owner assigned,new
REQ0037,Executive,How should activation rate change the next decision?,collaboration_depth,SaaS product roadmap and adoption decisions,sample reconciles,validated
REQ0038,Sales,How should repeat creation change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,action owner assigned,validated
REQ0039,Product,How should activation rate change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,action owner assigned,validated
REQ0040,Product,How should repeat creation change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,SQL check passes,validated
REQ0041,Executive,How should support friction change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,sample reconciles,new
REQ0042,Product,How should support friction change the next decision?,collaboration_depth,SaaS product roadmap and adoption decisions,action owner assigned,validated
REQ0043,Product,How should collaboration depth change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,metric owner approved,in build
REQ0044,Operations,How should activation rate change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,dashboard explains variance,validated
REQ0045,Operations,How should activation rate change the next decision?,collaboration_depth,SaaS product roadmap and adoption decisions,SQL check passes,blocked
REQ0046,Product,How should collaboration depth change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,sample reconciles,new
REQ0047,Product,How should support friction change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,sample reconciles,in build
REQ0048,Operations,How should feature readiness change the next decision?,collaboration_depth,SaaS product roadmap and adoption decisions,sample reconciles,validated
REQ0049,Engineering,How should support friction change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,SQL check passes,blocked
REQ0050,Product,How should collaboration depth change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,action owner assigned,blocked
REQ0051,Product,How should collaboration depth change the next decision?,collaboration_depth,SaaS product roadmap and adoption decisions,dashboard explains variance,new
REQ0052,Engineering,How should feature readiness change the next decision?,support_friction,SaaS product roadmap and adoption decisions,SQL check passes,triaged
REQ0053,Engineering,How should support friction change the next decision?,support_friction,SaaS product roadmap and adoption decisions,action owner assigned,triaged
REQ0054,Sales,How should feature readiness change the next decision?,collaboration_depth,SaaS product roadmap and adoption decisions,metric owner approved,blocked
REQ0055,Product,How should support friction change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,sample reconciles,blocked
REQ0056,Product,How should activation rate change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,metric owner approved,triaged
REQ0057,Sales,How should collaboration depth change the next decision?,collaboration_depth,SaaS product roadmap and adoption decisions,sample reconciles,blocked
REQ0058,Customer Success,How should feature readiness change the next decision?,support_friction,SaaS product roadmap and adoption decisions,action owner assigned,triaged
REQ0059,Engineering,How should feature readiness change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,metric owner approved,blocked
REQ0060,Operations,How should support friction change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,SQL check passes,new
REQ0061,Product,How should repeat creation change the next decision?,support_friction,SaaS product roadmap and adoption decisions,SQL check passes,blocked
REQ0062,Customer Success,How should collaboration depth change the next decision?,collaboration_depth,SaaS product roadmap and adoption decisions,action owner assigned,validated
REQ0063,Engineering,How should activation rate change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,dashboard explains variance,validated
REQ0064,Sales,How should collaboration depth change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,SQL check passes,triaged
REQ0065,Operations,How should repeat creation change the next decision?,support_friction,SaaS product roadmap and adoption decisions,metric owner approved,validated
REQ0066,Product,How should support friction change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,metric owner approved,in build
REQ0067,Customer Success,How should repeat creation change the next decision?,collaboration_depth,SaaS product roadmap and adoption decisions,action owner assigned,validated
REQ0068,Sales,How should activation rate change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,metric owner approved,validated
REQ0069,Customer Success,How should feature readiness change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,sample reconciles,triaged
REQ0070,Product,How should support friction change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,dashboard explains variance,triaged
REQ0071,Customer Success,How should support friction change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,SQL check passes,triaged
REQ0072,Operations,How should repeat creation change the next decision?,collaboration_depth,SaaS product roadmap and adoption decisions,action owner assigned,in build
REQ0073,Sales,How should repeat creation change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,dashboard explains variance,in build
REQ0074,Engineering,How should support friction change the next decision?,support_friction,SaaS product roadmap and adoption decisions,dashboard explains variance,triaged
REQ0075,Engineering,How should repeat creation change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,sample reconciles,in build
REQ0076,Sales,How should collaboration depth change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,sample reconciles,blocked
REQ0077,Customer Success,How should feature readiness change the next decision?,repeat_creation,SaaS product roadmap and adoption decisions,dashboard explains variance,new
REQ0078,Executive,How should feature readiness change the next decision?,activation_rate,SaaS product roadmap and adoption decisions,SQL check passes,triaged
REQ0079,Executive,How should repeat creation change the next decision?,support_friction,SaaS product roadmap and adoption decisions,action owner assigned,blocked
REQ0080,Product,How should support friction change the next decision?,feature_readiness,SaaS product roadmap and adoption decisions,action owner assigned,blocked
